,Unnamed: 0,frame,type,index,x,y
0,0,0,left_head,1,0.5149849326056987,0.24860214094645394
1,1,0,left_head,2,0.5421068265906384,0.26537832802118666
2,2,0,left_head,3,0.5473908661281033,0.2521275633478786
3,3,0,left_head,7,0.5717333847150801,0.2889507139554842
4,4,0,left_head,9,0.5282872178319498,0.35425271954715926
5,5,0,right_head,0,0.5012201120332516,0.2947443076465248
6,6,0,right_head,4,0.46776005698481116,0.24950023297910837
7,7,0,right_head,5,0.46663455407297405,0.24306408657607587
8,8,0,right_head,6,0.4393312665630864,0.26063022657234836
9,9,0,right_head,8,0.41702735164769006,0.2901495481415577
10,10,0,right_head,10,0.46222683139073023,0.34799807408583067
11,11,0,left_arm,11,0.6593368543964773,0.5549362830437009
12,12,0,left_arm,13,0.702062506292495,0.9219327006479316
13,13,0,left_arm,15,0.6885962285759542,1.1748019046560039
14,14,0,left_arm,17,0.6897834195657868,1.2733579098464018
15,15,0,left_arm,19,0.6651635214097585,1.2607005122755612
16,16,0,left_arm,21,0.6528934417580223,1.2199632673220753
17,17,0,left_arm,23,0.5791244874007283,1.1968746870759688
18,18,0,right_arm,12,0.32482776750431946,0.5445500664450418
19,19,0,right_arm,14,0.24988770092321622,0.885057789797218
20,20,0,right_arm,16,0.29019779362680836,1.1224859491081485
21,21,0,right_arm,18,0.305623059319813,1.219786567458504
22,22,0,right_arm,20,0.3206153548251003,1.1926269301850176
23,23,0,right_arm,22,0.3262008381766196,1.1497124370266363
24,24,0,right_arm,24,0.352909578921953,1.1928564400304968
25,25,0,left_hand,0,,
26,26,0,left_hand,1,,
27,27,0,left_hand,2,,
28,28,0,left_hand,3,,
29,29,0,left_hand,4,,
30,30,0,left_hand,5,,
31,31,0,left_hand,6,,
32,32,0,left_hand,7,,
33,33,0,left_hand,8,,
34,34,0,left_hand,9,,
35,35,0,left_hand,10,,
36,36,0,left_hand,11,,
37,37,0,left_hand,12,,
38,38,0,left_hand,13,,
39,39,0,left_hand,14,,
40,40,0,left_hand,15,,
41,41,0,left_hand,16,,
42,42,0,left_hand,17,,
43,43,0,left_hand,18,,
44,44,0,left_hand,19,,
45,45,0,left_hand,20,,
46,46,0,right_hand,0,,
47,47,0,right_hand,1,,
48,48,0,right_hand,2,,
49,49,0,right_hand,3,,
50,50,0,right_hand,4,,
51,51,0,right_hand,5,,
52,52,0,right_hand,6,,
53,53,0,right_hand,7,,
54,54,0,right_hand,8,,
55,55,0,right_hand,9,,
56,56,0,right_hand,10,,
57,57,0,right_hand,11,,
58,58,0,right_hand,12,,
59,59,0,right_hand,13,,
60,60,0,right_hand,14,,
61,61,0,right_hand,15,,
62,62,0,right_hand,16,,
63,63,0,right_hand,17,,
64,64,0,right_hand,18,,
65,65,0,right_hand,19,,
66,66,0,right_hand,20,,
67,67,1,left_head,1,0.5299069731875562,0.25242203831469245
68,68,1,left_head,2,0.5434255654017874,0.2519480114139301
69,69,1,left_head,3,0.5467946266163766,0.2510683729230723
70,70,1,left_head,7,0.5793918363227135,0.2915732589287748
71,71,1,left_head,9,0.5201136457996893,0.34443023694309016
72,72,1,right_head,0,0.4932354547465652,0.2780410774201599
73,73,1,right_head,4,0.468033773512459,0.2511287821528241
74,74,1,right_head,5,0.46210768685903314,0.25334982317574917
75,75,1,right_head,6,0.44208530423527725,0.24882138680541652
76,76,1,right_head,8,0.41511517738944786,0.29337071615647525
77,77,1,right_head,10,0.4664521035314184,0.336499554024657
78,78,1,left_arm,11,0.6637021583561741,0.5645193462357387
79,79,1,left_arm,13,0.7053596071264738,0.9371915424367018
80,80,1,left_arm,15,0.6835343044463796,1.1962974214227375
81,81,1,left_arm,17,0.6979898419477067,1.3009732867193633
82,82,1,left_arm,19,0.6777638128137489,1.2684756197268228
83,83,1,left_arm,21,0.664142450002866,1.2367224488341684
84,84,1,left_arm,23,0.5867334093781695,1.2002332939276694
85,85,1,right_arm,12,0.31718753008250217,0.5430938608154446
86,86,1,right_arm,14,0.25927271746403036,0.8850742484983911
87,87,1,right_arm,16,0.29685506036807685,1.1194501911814339
88,88,1,right_arm,18,0.29296647825873195,1.2113194171183155
89,89,1,right_arm,20,0.3155883416149871,1.1888304453650793
90,90,1,right_arm,22,0.32298980706837077,1.1466061792890527
91,91,1,right_arm,24,0.35804212420089493,1.1774676351744429
92,92,1,left_hand,0,,
93,93,1,left_hand,1,,
94,94,1,left_hand,2,,
95,95,1,left_hand,3,,
96,96,1,left_hand,4,,
97,97,1,left_hand,5,,
98,98,1,left_hand,6,,
99,99,1,left_hand,7,,
100,100,1,left_hand,8,,
101,101,1,left_hand,9,,
102,102,1,left_hand,10,,
103,103,1,left_hand,11,,
104,104,1,left_hand,12,,
105,105,1,left_hand,13,,
106,106,1,left_hand,14,,
107,107,1,left_hand,15,,
108,108,1,left_hand,16,,
109,109,1,left_hand,17,,
110,110,1,left_hand,18,,
111,111,1,left_hand,19,,
112,112,1,left_hand,20,,
113,113,1,right_hand,0,,
114,114,1,right_hand,1,,
115,115,1,right_hand,2,,
116,116,1,right_hand,3,,
117,117,1,right_hand,4,,
118,118,1,right_hand,5,,
119,119,1,right_hand,6,,
120,120,1,right_hand,7,,
121,121,1,right_hand,8,,
122,122,1,right_hand,9,,
123,123,1,right_hand,10,,
124,124,1,right_hand,11,,
125,125,1,right_hand,12,,
126,126,1,right_hand,13,,
127,127,1,right_hand,14,,
128,128,1,right_hand,15,,
129,129,1,right_hand,16,,
130,130,1,right_hand,17,,
131,131,1,right_hand,18,,
132,132,1,right_hand,19,,
133,133,1,right_hand,20,,
134,134,2,left_head,1,0.512868922244528,0.24256328198439758
135,135,2,left_head,2,0.5369730575321374,0.24212296964277016
136,136,2,left_head,3,0.5462696753814965,0.24418043109694193
137,137,2,left_head,7,0.5683505356084284,0.27939462534205867
138,138,2,left_head,9,0.5198465064351194,0.3409165509874637
139,139,2,right_head,0,0.4901750633744215,0.2791645092404346
140,140,2,right_head,4,0.47840089254613183,0.2388701612145998
141,141,2,right_head,5,0.45800842722830104,0.24959228332971328
142,142,2,right_head,6,0.44318469572501473,0.24690285400572737
143,143,2,right_head,8,0.4191800538060108,0.2782100560412243
144,144,2,right_head,10,0.4533374826506311,0.33454405101874135
145,145,2,left_arm,11,0.661373811563904,0.5708182502469178
146,146,2,left_arm,13,0.6956552353204813,0.9413893382015224
147,147,2,left_arm,15,0.6834689634001491,1.2136563189224099
148,148,2,left_arm,17,0.6896554819492366,1.3160282483438683
149,149,2,left_arm,19,0.66655847241958,1.3021582292631289
150,150,2,left_arm,21,0.6553290875243756,1.2511806476075031
151,151,2,left_arm,23,0.5736518548801989,1.1978279043800537
152,152,2,right_arm,12,0.3268263558193679,0.538032397733638
153,153,2,right_arm,14,0.2513211569997424,0.8913696429919048
154,154,2,right_arm,16,0.28668633408425664,1.1277297989680626
155,155,2,right_arm,18,0.2911557071225196,1.2363419232366888
156,156,2,right_arm,20,0.3117816009673044,1.2153164087407429
157,157,2,right_arm,22,0.3292774365653823,1.1839005711970652
158,158,2,right_arm,24,0.35443736892600447,1.1788778565452835
159,159,2,left_hand,0,,
160,160,2,left_hand,1,,
161,161,2,left_hand,2,,
162,162,2,left_hand,3,,
163,163,2,left_hand,4,,
164,164,2,left_hand,5,,
165,165,2,left_hand,6,,
166,166,2,left_hand,7,,
167,167,2,left_hand,8,,
168,168,2,left_hand,9,,
169,169,2,left_hand,10,,
170,170,2,left_hand,11,,
171,171,2,left_hand,12,,
172,172,2,left_hand,13,,
173,173,2,left_hand,14,,
174,174,2,left_hand,15,,
175,175,2,left_hand,16,,
176,176,2,left_hand,17,,
177,177,2,left_hand,18,,
178,178,2,left_hand,19,,
179,179,2,left_hand,20,,
180,180,2,right_hand,0,,
181,181,2,right_hand,1,,
182,182,2,right_hand,2,,
183,183,2,right_hand,3,,
184,184,2,right_hand,4,,
185,185,2,right_hand,5,,
186,186,2,right_hand,6,,
187,187,2,right_hand,7,,
188,188,2,right_hand,8,,
189,189,2,right_hand,9,,
190,190,2,right_hand,10,,
191,191,2,right_hand,11,,
192,192,2,right_hand,12,,
193,193,2,right_hand,13,,
194,194,2,right_hand,14,,
195,195,2,right_hand,15,,
196,196,2,right_hand,16,,
197,197,2,right_hand,17,,
198,198,2,right_hand,18,,
199,199,2,right_hand,19,,
200,200,2,right_hand,20,,
201,201,3,left_head,1,0.5244528149067241,0.24131268551831786
202,202,3,left_head,2,0.5351289019970052,0.23658667544927905
203,203,3,left_head,3,0.5589342426884577,0.25054385629946435
204,204,3,left_head,7,0.5712908623489065,0.2824610980659168
205,205,3,left_head,9,0.5257819572627637,0.33527822709252014
206,206,3,right_head,0,0.49623284264120754,0.26917926622915095
207,207,3,right_head,4,0.48163500808681564,0.23936631245855358
208,208,3,right_head,5,0.4526726357846243,0.23408517336168552
209,209,3,right_head,6,0.44670965785824357,0.2375089421033966
210,210,3,right_head,8,0.4256026811174252,0.27418260971996145
211,211,3,right_head,10,0.4645363674527807,0.33543175603217484
212,212,3,left_arm,11,0.6572124802803305,0.5602250536340471
213,213,3,left_arm,13,0.7034109236273063,0.9239391114995891
214,214,3,left_arm,15,0.6869165567017044,1.1959092442869037
215,215,3,left_arm,17,0.6861536449554572,1.2932500241733598
216,216,3,left_arm,19,0.6653295465456397,1.2757535704698433
217,217,3,left_arm,21,0.6576579190214924,1.2330957174318604
218,218,3,left_arm,23,0.5857143074249528,1.1771805817852137
219,219,3,right_arm,12,0.32216706876314527,0.5435879781679189
220,220,3,right_arm,14,0.25037004110122696,0.8723336410658028
221,221,3,right_arm,16,0.2771628793067209,1.1090726095279118
222,222,3,right_arm,18,0.29075092535457164,1.1991748586364432
223,223,3,right_arm,20,0.3154422370754188,1.177998516924022
224,224,3,right_arm,22,0.32597589624429907,1.1480501433366934
225,225,3,right_arm,24,0.36271747986458497,1.1740060640868288
226,226,3,left_hand,0,,
227,227,3,left_hand,1,,
228,228,3,left_hand,2,,
229,229,3,left_hand,3,,
230,230,3,left_hand,4,,
231,231,3,left_hand,5,,
232,232,3,left_hand,6,,
233,233,3,left_hand,7,,
234,234,3,left_hand,8,,
235,235,3,left_hand,9,,
236,236,3,left_hand,10,,
237,237,3,left_hand,11,,
238,238,3,left_hand,12,,
239,239,3,left_hand,13,,
240,240,3,left_hand,14,,
241,241,3,left_hand,15,,
242,242,3,left_hand,16,,
243,243,3,left_hand,17,,
244,244,3,left_hand,18,,
245,245,3,left_hand,19,,
246,246,3,left_hand,20,,
247,247,3,right_hand,0,,
248,248,3,right_hand,1,,
249,249,3,right_hand,2,,
250,250,3,right_hand,3,,
251,251,3,right_hand,4,,
252,252,3,right_hand,5,,
253,253,3,right_hand,6,,
254,254,3,right_hand,7,,
255,255,3,right_hand,8,,
256,256,3,right_hand,9,,
257,257,3,right_hand,10,,
258,258,3,right_hand,11,,
259,259,3,right_hand,12,,
260,260,3,right_hand,13,,
261,261,3,right_hand,14,,
262,262,3,right_hand,15,,
263,263,3,right_hand,16,,
264,264,3,right_hand,17,,
265,265,3,right_hand,18,,
266,266,3,right_hand,19,,
267,267,3,right_hand,20,,
268,268,4,left_head,1,0.5120904205000475,0.23863863526174836
269,269,4,left_head,2,0.5302860136526031,0.2408379819294637
270,270,4,left_head,3,0.5458582925839641,0.2542280174742487
271,271,4,left_head,7,0.5743905185726559,0.28178103133888205
272,272,4,left_head,9,0.53153857796681,0.33266349678675106
273,273,4,right_head,0,0.49734338053413774,0.27661130353231184
274,274,4,right_head,4,0.4734701679900922,0.2388498286079174
275,275,4,right_head,5,0.45723902712074244,0.24641456849075039
276,276,4,right_head,6,0.4425209052301687,0.22963628825357635
277,277,4,right_head,8,0.40701529474483733,0.2760251771164492
278,278,4,right_head,10,0.4659033557975876,0.33533675589253054
279,279,4,left_arm,11,0.6601632382164089,0.5590704522346119
280,280,4,left_arm,13,0.6945364474804476,0.9293988394854082
281,281,4,left_arm,15,0.694647061803027,1.1986303311107593
282,282,4,left_arm,17,0.7090516943150346,1.2893089325616258
283,283,4,left_arm,19,0.6897408369154719,1.2739454056179125
284,284,4,left_arm,21,0.6759529385775896,1.236994726766155
285,285,4,left_arm,23,0.5845407081291278,1.1895631764127372
286,286,4,right_arm,12,0.3228790946091015,0.5340538194849908
287,287,4,right_arm,14,0.25438151590440405,0.8903506288567861
288,288,4,right_arm,16,0.2836395145114047,1.1278560950468046
289,289,4,right_arm,18,0.27891217191666584,1.2286623472572566
290,290,4,right_arm,20,0.30635121398436055,1.1949336852923667
291,291,4,right_arm,22,0.3177081373685434,1.1609840322056997
292,292,4,right_arm,24,0.3645051044200415,1.1688305652894484
293,293,4,left_hand,0,,
294,294,4,left_hand,1,,
295,295,4,left_hand,2,,
296,296,4,left_hand,3,,
297,297,4,left_hand,4,,
298,298,4,left_hand,5,,
299,299,4,left_hand,6,,
300,300,4,left_hand,7,,
301,301,4,left_hand,8,,
302,302,4,left_hand,9,,
303,303,4,left_hand,10,,
304,304,4,left_hand,11,,
305,305,4,left_hand,12,,
306,306,4,left_hand,13,,
307,307,4,left_hand,14,,
308,308,4,left_hand,15,,
309,309,4,left_hand,16,,
310,310,4,left_hand,17,,
311,311,4,left_hand,18,,
312,312,4,left_hand,19,,
313,313,4,left_hand,20,,
314,314,4,right_hand,0,,
315,315,4,right_hand,1,,
316,316,4,right_hand,2,,
317,317,4,right_hand,3,,
318,318,4,right_hand,4,,
319,319,4,right_hand,5,,
320,320,4,right_hand,6,,
321,321,4,right_hand,7,,
322,322,4,right_hand,8,,
323,323,4,right_hand,9,,
324,324,4,right_hand,10,,
325,325,4,right_hand,11,,
326,326,4,right_hand,12,,
327,327,4,right_hand,13,,
328,328,4,right_hand,14,,
329,329,4,right_hand,15,,
330,330,4,right_hand,16,,
331,331,4,right_hand,17,,
332,332,4,right_hand,18,,
333,333,4,right_hand,19,,
334,334,4,right_hand,20,,
335,335,5,left_head,1,0.5128997744132088,0.22506058443630753
336,336,5,left_head,2,0.529534222624942,0.23440784313332855
337,337,5,left_head,3,0.5428560667489432,0.23977731649328543
338,338,5,left_head,7,0.5686919034313678,0.2775708019019338
339,339,5,left_head,9,0.5292960554527224,0.3272348939794463
340,340,5,right_head,0,0.5025598053808011,0.27087828630090277
341,341,5,right_head,4,0.4693906727623089,0.23376893309302837
342,342,5,right_head,5,0.46109441349814645,0.24007385110172244
343,343,5,right_head,6,0.4472502603671469,0.24173328762183577
344,344,5,right_head,8,0.4121329246454351,0.27208527080314737
345,345,5,right_head,10,0.46825285788752247,0.32530399235014384
346,346,5,left_arm,11,0.6567624816088484,0.5492431664463338
347,347,5,left_arm,13,0.6990090897135023,0.9256829306013047
348,348,5,left_arm,15,0.6824900406947211,1.1972472234365357
349,349,5,left_arm,17,0.6924214012072407,1.2910160405051236
