,frame,type,index,x,y
0,0,left_hand,0,,
1,0,left_hand,1,,
2,0,left_hand,2,,
3,0,left_hand,3,,
4,0,left_hand,4,,
5,0,left_hand,5,,
6,0,left_hand,6,,
7,0,left_hand,7,,
8,0,left_hand,8,,
9,0,left_hand,9,,
10,0,left_hand,10,,
11,0,left_hand,11,,
12,0,left_hand,12,,
13,0,left_hand,13,,
14,0,left_hand,14,,
15,0,left_hand,15,,
16,0,left_hand,16,,
17,0,left_hand,17,,
18,0,left_hand,18,,
19,0,left_hand,19,,
20,0,left_hand,20,,
21,0,pose,0,,
22,0,pose,1,,
23,0,pose,2,,
24,0,pose,3,,
25,0,pose,4,,
26,0,pose,5,,
27,0,pose,6,,
28,0,pose,7,,
29,0,pose,8,,
30,0,pose,9,,
31,0,pose,10,,
32,0,pose,11,,
33,0,pose,12,,
34,0,pose,13,,
35,0,pose,14,,
36,0,pose,15,,
37,0,pose,16,,
38,0,pose,17,,
39,0,pose,18,,
40,0,pose,19,,
41,0,pose,20,,
42,0,pose,21,,
43,0,pose,22,,
44,0,pose,23,,
45,0,pose,24,,
46,0,pose,25,,
47,0,pose,26,,
48,0,pose,27,,
49,0,pose,28,,
50,0,pose,29,,
51,0,pose,30,,
52,0,pose,31,,
53,0,pose,32,,
54,0,right_hand,0,,
55,0,right_hand,1,,
56,0,right_hand,2,,
57,0,right_hand,3,,
58,0,right_hand,4,,
59,0,right_hand,5,,
60,0,right_hand,6,,
61,0,right_hand,7,,
62,0,right_hand,8,,
63,0,right_hand,9,,
64,0,right_hand,10,,
65,0,right_hand,11,,
66,0,right_hand,12,,
67,0,right_hand,13,,
68,0,right_hand,14,,
69,0,right_hand,15,,
70,0,right_hand,16,,
71,0,right_hand,17,,
72,0,right_hand,18,,
73,0,right_hand,19,,
74,0,right_hand,20,,
